protocol,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,normal
6,120013506,239.7896783,1.266524119,0.549938104,0.716586015,66,86,9288,19490,213,60,140.7272727,61.05376306,1162,54,226.627907,310.5283212,1162,54,189.3289474,240.8094567,57989.19443,1320,1720,20,66,794791.4305,29939978,0,4801786.584,120013506,29939978,0,1846361.631,7184847.432,90135664,29945998,20,1060419.576,5521378.987,53,34,0,0,0,0,0,87,152,0,0,1.303030303,189.3289474,65535,64240,29937607,1216,9973071.222,14095641.49,29925755,5640,9968462.75,14080825.71,537.5,5,1673.5,4,691941.2976,3523157.895,140.7272727,226.627907,0,66,86,9288,19490,normal
6,90166032,70.60308476,0.332719532,0.144178464,0.188541068,13,17,4892,1474,804,60,376.3076923,299.9803544,193,54,86.70588235,53.9278,804,54,212.2,247.4619701,61237.42667,260,340,20,13,3109173.517,30010143,9,9127170.854,90165938,30010287,71,7513828.167,12970240.62,90165895,30010270,26,5635368.438,11694274.87,12,5,0,0,0,0,0,17,30,0,0,1.307692308,212.2,62780,64240,29966864,29872988,29919926,46938,29964982,47602,22462498.75,12941293.92,0,0,0,0,0,0,376.3076923,86.70588235,0,13,17,4892,1474,normal
17,100892705,8.682490969,0.109026713,0.109026713,0,11,0,876,0,86,75,79.63636364,4.11809151,0,0,0,0,86,75,79.63636364,4.11809151,16.95867769,88,0,8,11,10089270.5,30937729,0,12704167.26,100892705,30937729,0,10089270.5,12704167.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.63636364,0,0,0,0,0,0,30937729,8930621,19934175,11003554,0,0,0,0,0,0,79.63636364,0,0,11,0,876,0,normal
17,100269870,3.410795287,0.029919257,0.029919257,0,3,0,342,0,114,114,114,0,0,0,0,0,114,114,114,0,0,24,0,8,3,50134935,50178611,50091259,43676,100269870,50178611,50091259,50134935,43676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,3,0,342,0,normal
17,100010420,54.8742821,0.049994791,0.049994791,0,5,0,5488,0,1296,800,1097.6,242.9893825,0,0,0,0,1296,800,1097.6,242.9893825,59043.84,40,0,8,5,25002605,29488906,20995613,3677042.666,100010420,29488906,20995613,25002605,3677042.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097.6,0,0,0,0,0,0,29488906,6749352,18119129,11369777,0,0,0,0,0,0,1097.6,0,0,5,0,5488,0,normal
17,146141109,2.052810479,0.027370806,0.027370806,0,4,0,300,0,75,75,75,0,0,0,0,0,75,75,75,0,0,32,0,8,4,48713703,48983774,48355884,263737.5547,146141109,48983774,48355884,48713703,263737.5547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,48801451,182323,24491887,24309564,0,0,0,0,0,0,75,0,0,4,0,300,0,normal
6,92131053,510.4142248,2.778650538,1.519574513,1.259076025,140,116,31589,15436,1187,54,225.6357143,291.3289797,213,60,133.0689655,63.40519996,1187,54,183.6914063,224.4096128,50359.6743,2800,2320,20,56,361298.2471,29891630,0,3034547.493,92130426,29935898,3,662808.8201,4088305.458,92131023,29891630,0,801139.3304,4479562.397,56,83,0,0,0,0,0,139,256,0,0,0.828571429,183.6914063,64240,65535,29878948,41,5380958.765,10539024.83,29847533,8842,4355677.476,9705774.67,0,0,526.6,4.866666667,0,591596.7645,225.6357143,133.0689655,0,140,116,31589,15436,normal
17,120561112,6.536104279,0.082945486,0.082945486,0,10,0,788,0,86,75,78.8,3.919183588,0,0,0,0,86,75,78.8,3.919183588,15.36,80,0,8,10,13395679.11,27087493,1,12074714.71,120561112,27087493,1,13395679.11,12074714.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.8,0,0,0,0,0,0,21962659,3452206,10179899.67,8359604.625,0,0,0,0,0,0,78.8,0,0,10,0,788,0,normal
17,100162245,49.83913849,0.049919009,0.049919009,0,5,0,4992,0,1296,800,998.4,242.9893825,0,0,0,0,1296,800,998.4,242.9893825,59043.84,40,0,8,5,25040561.25,27590264,22453617,1973430.47,100162245,27590264,22453617,25040561.25,1973430.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998.4,0,0,0,0,0,0,22453617,3622813,9924575.333,8859422.507,0,0,0,0,0,0,998.4,0,0,5,0,4992,0,normal
17,99680601,3.430958447,0.030096127,0.030096127,0,3,0,342,0,114,114,114,0,0,0,0,0,114,114,114,0,0,24,0,8,3,49840300.5,49846012,49834589,5711.5,99680601,49846012,49834589,49840300.5,5711.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,49834589,11423,24923006,24911583,0,0,0,0,0,0,114,0,0,3,0,342,0,normal
